market,symbol,status,baseAsset,quoteAsset,pricePrecision,quantityPrecision,baseAssetPrecision,quotePrecision,tickSize,minQty,maxQty,stepSize,minNotional
um-futures-cross,ALGOUSDT,TRADING,ALGO,USDT,4,1,8,8,0.0001,0.1,1000000,0.1,5.0
um-futures-cross,ZILUSDT,TRADING,ZIL,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,KNCUSDT,TRADING,KNC,USDT,5,0,8,8,0.00010,1,5000000,1,5.0
um-futures-cross,ZRXUSDT,TRADING,ZRX,USDT,4,1,8,8,0.0001,0.1,1000000,0.1,5.0
um-futures-cross,COMPUSDT,TRADING,COMP,USDT,2,3,8,8,0.01,0.001,10000,0.001,5.0
um-futures-cross,OMGUSDT,TRADING,OMG,USDT,4,1,8,8,0.0010,0.1,1000000,0.1,5.0
um-futures-cross,DOGEUSDT,TRADING,DOGE,USDT,6,0,8,8,0.000010,1,50000000,1,5.0
um-futures-cross,SXPUSDT,TRADING,SXP,USDT,4,1,8,8,0.0001,0.1,1000000,0.1,5.0
um-futures-cross,KAVAUSDT,TRADING,KAVA,USDT,4,1,8,8,0.0001,0.1,1000000,0.1,5.0
um-futures-cross,BANDUSDT,TRADING,BAND,USDT,4,1,8,8,0.0001,0.1,2000000,0.1,5.0
um-futures-cross,RLCUSDT,TRADING,RLC,USDT,4,1,8,8,0.0001,0.1,1000000,0.1,5.0
um-futures-cross,WAVESUSDT,TRADING,WAVES,USDT,4,1,8,8,0.0001,0.1,1000000,0.1,5.0
um-futures-cross,MKRUSDT,TRADING,MKR,USDT,2,3,8,8,0.10,0.001,10000,0.001,5.0
um-futures-cross,SNXUSDT,TRADING,SNX,USDT,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,DOTUSDT,TRADING,DOT,USDT,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,DEFIUSDT,TRADING,DEFI,USDT,1,3,8,8,0.1,0.001,10000,0.001,5.0
um-futures-cross,YFIUSDT,TRADING,YFI,USDT,1,3,8,8,1,0.001,500,0.001,5.0
um-futures-cross,BALUSDT,TRADING,BAL,USDT,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,CRVUSDT,TRADING,CRV,USDT,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,TRBUSDT,TRADING,TRB,USDT,3,1,8,8,0.010,0.1,1000000,0.1,5.0
um-futures-cross,RUNEUSDT,TRADING,RUNE,USDT,4,0,8,8,0.0010,1,10000000,1,5.0
um-futures-cross,SUSHIUSDT,TRADING,SUSHI,USDT,4,0,8,8,0.0010,1,10000000,1,5.0
um-futures-cross,SRMUSDT,SETTLING,SRM,USDT,4,0,8,8,0.0001,1,10000000,1,5.0
um-futures-cross,EGLDUSDT,TRADING,EGLD,USDT,3,1,8,8,0.010,0.1,1000000,0.1,5.0
um-futures-cross,SOLUSDT,TRADING,SOL,USDT,4,0,8,8,0.0010,1,1000000,1,5.0
um-futures-cross,ICXUSDT,TRADING,ICX,USDT,4,0,8,8,0.0001,1,10000000,1,5.0
um-futures-cross,STORJUSDT,TRADING,STORJ,USDT,4,0,8,8,0.0001,1,10000000,1,5.0
um-futures-cross,BLZUSDT,TRADING,BLZ,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,UNIUSDT,TRADING,UNI,USDT,4,0,8,8,0.0010,1,10000000,1,5.0
um-futures-cross,AVAXUSDT,TRADING,AVAX,USDT,4,0,8,8,0.0010,1,100000,1,5.0
um-futures-cross,FTMUSDT,TRADING,FTM,USDT,6,0,8,8,0.000100,1,10000000,1,5.0
um-futures-cross,HNTUSDT,SETTLING,HNT,USDT,4,0,8,8,0.0010,1,10000000,1,5.0
um-futures-cross,ENJUSDT,TRADING,ENJ,USDT,5,0,8,8,0.00010,1,10000000,1,5.0
um-futures-cross,FLMUSDT,TRADING,FLM,USDT,4,0,8,8,0.0001,1,1000000,1,5.0
um-futures-cross,TOMOUSDT,TRADING,TOMO,USDT,4,0,8,8,0.0001,1,10000000,1,5.0
um-futures-cross,RENUSDT,TRADING,REN,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,KSMUSDT,TRADING,KSM,USDT,3,1,8,8,0.010,0.1,1000000,0.1,5.0
um-futures-cross,NEARUSDT,TRADING,NEAR,USDT,4,0,8,8,0.0010,1,10000000,1,5.0
um-futures-cross,AAVEUSDT,TRADING,AAVE,USDT,3,1,8,8,0.010,0.1,1000000,0.1,5.0
um-futures-cross,FILUSDT,TRADING,FIL,USDT,3,1,8,8,0.001,0.1,10000000,0.1,5.0
um-futures-cross,RSRUSDT,TRADING,RSR,USDT,6,0,8,8,0.000001,1,10000000,1,5.0
um-futures-cross,LRCUSDT,TRADING,LRC,USDT,5,0,8,8,0.00010,1,10000000,1,5.0
um-futures-cross,MATICUSDT,TRADING,MATIC,USDT,5,0,8,8,0.00010,1,10000000,1,5.0
um-futures-cross,OCEANUSDT,TRADING,OCEAN,USDT,5,0,8,8,0.00010,1,10000000,1,5.0
um-futures-cross,CVCUSDT,SETTLING,CVC,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,BELUSDT,TRADING,BEL,USDT,5,0,8,8,0.00010,1,10000000,1,5.0
um-futures-cross,CTKUSDT,TRADING,CTK,USDT,5,0,8,8,0.00010,1,10000000,1,5.0
